order_id,store_id,business_day,daypart,service_mode,menu_item,menu_modifier,unit_quantity,unit_price,unit_discount,tax,total_amount,payment_type
(120446,201,'2025-04-26','Lunch','Dine-In','Double Cheeseburger','None',1,5.89,0,0.47,6.36,'Card'),
(120447,103,'2025-05-31','Lunch','Dine-In','Chicken Nuggets (10pc),','None',2,4.68,0,0.61,9.97,'MobilePay'),
(120448,103,'2025-04-29','Late Night','Dine-In','Milkshake','Sugar-Free Syrup',1,3.82,0,0.33,4.45,'Card'),
(120449,201,'2025-07-03','Dinner','Dine-In','French Fries','None',1,2.34,0.52,0.13,2.2,'MobilePay'),
(120450,403,'2025-06-29','Lunch','Takeout','Cheeseburger Combo','None',1,8.46,0,0.51,8.97,'GiftCard'),
(120451,401,'2025-05-28','Dinner','Takeout','Double Cheeseburger','None',1,6.14,0,0.37,6.51,'Cash'),
(120452,402,'2025-06-22','Lunch','Dine-In','Spicy Chicken Sandwich','None',2,5.26,0,0.68,11.2,'Cash'),
(120453,201,'2025-05-15','Lunch','Drive-Thru','French Fries','None',1,2.78,0,0.26,3.04,'Not Registered'),
(120454,401,'2025-04-26','Late Night','Drive-Thru','Double Cheeseburger','None',1,5.52,0,0.5,6.02,'Cash'),
(120455,301,'2025-06-30','Dinner','Drive-Thru','Cheeseburger Combo','None',1,8.09,0,0.57,8.66,'Card'),
(120456,201,'2025-05-14','Lunch','Delivery','Chicken Sandwich Combo','No Pickles',2,8.94,0,1.43,19.31,'Card'),
(120457,401,'2025-06-20','Morning','Dine-In','Soft Drink (Medium),','None',1,1.65,0,0.16,1.81,'Card'),
(120458,401,'2025-07-11','Lunch','Dine-In','Cheeseburger Combo','None',2,8.21,0,1.15,17.57,'Card'),
(120459,201,'2025-07-14','Breakfast','Drive-Thru','Pancake Platter','No Cheese',1,4.59,0,0.34,4.93,'Card'),
(120460,201,'2025-04-15','Lunch','Takeout','Spicy Chicken Sandwich','Extra Patty',1,6.39,0,0.63,9.02,'Cash'),
(120461,501,'2025-06-12','Dinner','Dine-In','Cheeseburger Combo','None',1,8.51,0,0.64,9.15,'Cash'),
(120462,201,'2025-06-18','Dinner','Drive-Thru','Double Cheeseburger Combo','None',1,9.64,0,0.58,10.22,'Card'),
(120463,401,'2025-06-20','Dinner','Dine-In','Veggie Burger','None',1,5.31,0.73,0.59,7.17,'MobilePay'),
(120464,102,'2025-07-25','Breakfast','Dine-In','Egg Muffin','None',1,3.21,0,0.19,3.4,'Cash'),
(120465,403,'2025-05-10','Afternoon','Takeout','Chicken Nuggets (6pc),','None',2,3.68,0,0.53,7.89,'Card'),
(120466,301,'2025-05-14','Dinner','Dine-In','Spicy Chicken Combo','None',1,9.6,0,0.77,10.37,'MobilePay'),
(120467,401,'2025-07-13','Breakfast','Dine-In','Sausage Biscuit','Cinnamon',1,3.23,0,0.25,3.58,'Card'),
(120468,501,'2025-07-27','Lunch','Takeout','Spicy Chicken Combo','None',3,9.02,0,2.16,29.22,'GiftCard'),
(120469,102,'2025-05-24','Lunch','Delivery','Chicken Sandwich Combo','Add Bacon',1,8.7,0,0.63,10.33,'Card'),
(120470,301,'2025-07-15','Lunch','Delivery','Spicy Chicken Combo','None',1,9.15,0,0.64,9.79,'Card'),
(120471,202,'2025-07-11','Dinner','Dine-In','Onion Rings','Small Size',1,2.49,0,0.18,2.37,'Card'),
(120472,101,'2025-07-22','Afternoon','Dine-In','Side Salad','None',1,2.51,0,0.23,2.74,'Card'),
(120473,202,'2025-05-20','Afternoon','Delivery','Ice Cream Cone','Caramel Topping',1,1.8,0,0.2,2.5,'Card'),
(120474,102,'2025-04-14','Dinner','Dine-In','Spicy Chicken Sandwich','None',1,6.27,0,0.74,9.01,'Cash'),
(120475,101,'2025-05-08','Dinner','Drive-Thru','Iced Tea','Sugar-Free Syrup',1,1.86,0,0.14,2.3,'MobilePay'),
(120476,201,'2025-07-08','Dinner','Takeout','Spicy Chicken Combo','None',2,9.58,0,1.39,20.55,'Cash'),
(120477,103,'2025-06-12','Morning','Takeout','Brownie','None',1,1.93,0,0.16,2.09,'GiftCard'),
(120478,401,'2025-06-16','Breakfast','Delivery','Bottled Water','None',1,1.69,0,0.16,2.55,'Card'),
(120479,201,'2025-06-20','Dinner','Drive-Thru','Cheeseburger','None',1,4.86,0,0.41,5.27,'Card'),
(120480,102,'2025-04-27','Lunch','Dine-In','Double Cheeseburger Combo','None',2,9.93,0,1.29,21.15,'Card'),
(120481,301,'2025-07-10','Breakfast','Drive-Thru','Hash Browns','Extra Egg',1,1.7,0,0.16,2.86,'Card'),
(120482,301,'2025-06-27','Afternoon','Takeout','French Fries','Extra Sauce',1,2.18,0.36,0.17,2.24,'Not Registered'),
(120483,103,'2025-07-25','Breakfast','Drive-Thru','Breakfast Burrito','Cinnamon',1,3.79,0,0.23,4.12,'Card'),
(120484,101,'2025-05-07','Late Night','Takeout','Onion Rings','No Sauce',1,2.93,0,0.26,3.19,'Card'),
(120485,201,'2025-04-20','Dinner','Drive-Thru','Spicy Chicken Combo','None',2,8.58,0,1.54,18.7,'Card'),
(120486,102,'2025-05-10','Breakfast','Drive-Thru','Coffee','None',1,1.76,0,0.11,1.87,'MobilePay'),
(120487,301,'2025-04-12','Dinner','Takeout','Spicy Chicken Combo','None',1,8.75,0,0.74,9.49,'Cash'),
(120488,501,'2025-05-06','Dinner','Dine-In','Cheeseburger Combo','None',1,9.33,0,0.68,10.01,'Card'),
(120489,103,'2025-05-24','Lunch','Dine-In','Spicy Chicken Sandwich','None',2,5.98,0,1.26,15.22,'MobilePay'),
(120490,101,'2025-07-01','Afternoon','Dine-In','Iced Tea','None',1,1.89,0,0.16,2.05,'MobilePay'),
(120491,201,'2025-08-03','Dinner','Drive-Thru','Double Cheeseburger Combo','None',1,10.73,2.15,0.69,9.27,'Card'),
(120492,202,'2025-04-13','Lunch','Takeout','Spicy Chicken Sandwich','No Pickles',2,5.67,0,1.02,12.36,'Card'),
(120493,201,'2025-05-06','Morning','Dine-In','Soft Drink (Medium),','Light Ice',1,1.67,0,0.12,1.79,'Cash'),
(120494,403,'2025-05-26','Afternoon','Delivery','Chicken Nuggets (10pc),','None',1,5.5,0,0.38,5.88,'Card'),
(120495,402,'2025-05-18','Dinner','Delivery','Double Cheeseburger','None',1,5.96,0,0.57,6.53,'Card'),
(120496,102,'2025-07-17','Dinner','Delivery','Double Cheeseburger','None',1,5.31,0,0.5,5.81,'Card'),
(120497,403,'2025-06-04','Lunch','Dine-In','Double Cheeseburger','None',1,5.66,1.13,0.36,4.89,'Cash'),
(120498,101,'2025-07-25','Breakfast','Drive-Thru','French Fries','Small Size',1,2.39,0,0.2,2.29,'Card'),
(120499,301,'2025-06-25','Lunch','Delivery','Cheeseburger','None',2,4.03,0,0.56,8.62,'Card'),
(120500,102,'2025-07-07','Lunch','Dine-In','Chicken Nuggets (10pc),','None',3,5.3,0,1.15,17.05,'Card'),
(120501,301,'2025-05-19','Afternoon','Takeout','Ice Cream Cone','None',2,1.86,0,0.35,5.07,'Card'),
(120502,301,'2025-05-02','Dinner','Drive-Thru','Double Cheeseburger','None',1,5.16,0,0.34,5.5,'Card'),
(120503,403,'2025-05-28','Lunch','Delivery','Chicken Sandwich','Extra Sauce',1,5.6,0,0.56,6.41,'MobilePay'),
(120504,403,'2025-05-17','Dinner','Delivery','Onion Rings','No Sauce',2,2.96,0,0.5,6.42,'Card'),
(120505,202,'2025-06-04','Late Night','Drive-Thru','Spicy Chicken Sandwich','None',1,5.45,0.55,0.32,5.22,'MobilePay'),
(120506,101,'2025-06-16','Late Night','Drive-Thru','Bottled Water','Sugar-Free Syrup',1,1.39,0,0.1,1.79,'GiftCard'),
(120507,403,'2025-08-04','Afternoon','Delivery','Soft Drink (Medium),','None',1,1.67,0,0.16,1.83,'MobilePay'),
(120508,301,'2025-07-09','Dinner','Takeout','Cheeseburger','None',1,4.51,0,0.43,4.94,'Card'),
(120509,301,'2025-06-12','Breakfast','None','Coffee','No Ice',1,1.72,0,0.11,1.83,'Card'),
(120510,202,'2025-06-20','Morning','Takeout','Side Salad','None',1,2.9,0,0,0,'Card'),
(120511,202,'2025-06-20','Breakfast','Drive-Thru','Hash Browns','Sausage Patty',1,1.88,0,0.28,3.36,'Card'),
(120512,403,'2025-05-07','Dinner','Drive-Thru','Double Cheeseburger','None',1,5.64,0,0.34,5.98,'Cash'),
(120513,202,'2025-07-30','Lunch','Dine-In','Chicken Sandwich','Gluten-Free Bun',3,5.06,0,1.55,19.73,'Card'),
(120514,103,'2025-04-22','Morning','Dine-In','Chicken Nuggets (6pc),','None',1,3.6,0,0.23,3.83,'Card'),
(120515,201,'2025-06-09','Lunch','Delivery','Chicken Sandwich','None',1,5.67,0,0,0,'Card'),
(120516,202,'2025-07-28','Dinner','Drive-Thru','Spicy Chicken Sandwich','None',1,5.83,0,0.41,6.24,'Card'),
(120517,301,'2025-07-05','Morning','Dine-In','Hash Browns','Extra Egg',1,1.69,0,0.2,2.89,'Card'),
(120518,202,'2025-05-04','Dinner','Dine-In','Cheeseburger Combo','None',2,8.54,0,1.62,18.7,'Card'),
(120519,102,'2025-06-03','Lunch','Dine-In','Spicy Chicken Sandwich','No Pickles',1,5.93,0,0.5,6.43,'GiftCard'),
(120520,403,'2025-05-02','Lunch','Dine-In','Chicken Sandwich','None',1,4.78,0,0.45,5.23,'Card'),
(120521,202,'2025-07-19','Lunch','None','Double Cheeseburger','None',2,5.97,0,0.72,12.66,'Card'),
(120522,301,'2025-06-23','Afternoon','Drive-Thru','Chicken Nuggets (10pc),','None',1,4.77,0,0.29,5.06,'Card'),
(120523,403,'2025-04-20','Afternoon','Delivery','Milkshake','Cinnamon',1,4.18,0,0.34,4.62,'Card'),
(120524,201,'2025-06-15','Dinner','Takeout','Cheeseburger Combo','None',1,8.11,0,0.57,8.68,'Card'),
(120525,501,'2025-07-22','Morning','Takeout','Bottled Water','Light Ice',1,1.29,0,0.08,1.37,'Cash'),
(120526,101,'2025-05-03','Breakfast','Drive-Thru','Coffee','None',1,1.56,0,0.12,1.68,'Card'),
(120527,103,'2025-06-09','Lunch','Takeout','Chicken Sandwich Combo','None',1,9.01,0,0.59,9.6,'Card'),
(120528,401,'2025-06-25','Lunch','Drive-Thru','Onion Rings','None',1,3.21,0,0.28,4.09,'Card'),
(120529,102,'2025-05-24','Dinner','Takeout','Spicy Chicken Combo','None',1,8.84,0,0.66,9.5,'Cash'),
(120530,102,'2025-04-21','Dinner','Dine-In','Cheeseburger Combo','None',3,8.81,0,1.72,28.15,'Card'),
(120531,103,'2025-06-25','Dinner','Takeout','Chicken Sandwich Combo','No Onions',1,8.16,0,0.59,8.75,'GiftCard'),
(120532,201,'2025-05-27','Lunch','Drive-Thru','Chicken Sandwich','None',1,5.37,0,0.32,5.69,'Cash'),
(120533,301,'2025-04-21','Dinner','Dine-In','Iced Tea','None',1,1.73,0,0.12,1.85,'MobilePay'),
(120534,401,'2025-05-12','Lunch','Dine-In','Onion Rings','None',1,2.96,0.15,0.17,2.98,'MobilePay'),
(120535,403,'2025-07-02','Afternoon','Takeout','Milkshake','None',1,4.01,0,0.24,4.25,'Cash'),
(120536,402,'2025-04-25','Lunch','Takeout','Cheeseburger Combo','None',3,8.06,0,1.69,25.87,'Cash'),
(120537,403,'2025-07-31','Afternoon','Takeout','Side Salad','None',1,2.76,0,0.2,2.96,'Cash'),
(120538,201,'2025-06-01','Lunch','Takeout','Spicy Chicken Sandwich','None',1,6.03,0,0.52,6.25,'Cash'),
(120539,202,'2025-06-06','Late Night','Delivery','Double Cheeseburger','None',1,5.5,0,0.52,6.02,'Card'),
(120540,501,'2025-08-05','Dinner','Delivery','Chicken Sandwich Combo','Add Bacon',2,9.41,0,1.46,22.28,'Card'),
(120541,403,'2025-06-27','Dinner','Takeout','French Fries','Extra Sauce',1,2.32,0,0.17,2.74,'Card'),
(120542,202,'2025-04-29','Lunch','Takeout','Spicy Chicken Sandwich','None',1,5.84,0,0.38,6.22,'Card'),
(120543,402,'2025-07-23','Afternoon','Dine-In','Onion Rings','Small Size',1,3.55,0,0.26,3.51,'MobilePay'),
(120544,101,'2025-05-19','Afternoon','Dine-In','Chicken Nuggets (6pc),','None',1,3.12,0,0.27,3.39,'MobilePay'),
(120545,402,'2025-04-16','Afternoon','Dine-In','Ice Cream Cone','Chocolate Topping',1,1.55,0,0.16,2.21,'Card'),
(120546,402,'2025-07-21','Breakfast','Dine-In','Apple Pie','Caramel Topping',2,1.67,0,0.37,4.71,'Cash'),
(120547,401,'2025-05-20','Morning','Dine-In','Latte','Sugar-Free Syrup',1,3.19,0,0.26,3.75,'Card'),
(120548,202,'2025-06-26','Breakfast','Delivery','French Fries','None',2,2.75,0,0.43,6.43,'MobilePay'),
(120549,301,'2025-04-17','Breakfast','Takeout','Coffee','Extra Ice',1,1.77,0.35,0.1,1.52,'Card'),
(120550,201,'2025-06-01','Lunch','Dine-In','Chicken Sandwich','No Pickles',1,5.42,0,0.41,5.83,'Card'),
(120551,402,'2025-06-25','Lunch','Takeout','Spicy Chicken Sandwich','Extra Patty',1,5.58,0,0.53,8.11,'GiftCard'),
(120552,202,'2025-04-11','Dinner','Drive-Thru','Cheeseburger','None',1,4.88,0,0.46,5.34,'Card'),
(120553,401,'2025-05-02','Morning','Dine-In','Chicken Nuggets (6pc),','None',2,3.8,0,0.65,8.25,'MobilePay'),
(120554,202,'2025-04-16','Lunch','Dine-In','Cheeseburger','None',1,4.6,0,0.44,5.04,'MobilePay'),
(120555,201,'2025-06-20','Lunch','Takeout','Chicken Nuggets (10pc),','None',3,4.85,0,1.02,15.57,'Card'),
(120556,103,'2025-05-21','Lunch','Delivery','Chicken Sandwich Combo','None',1,8.75,0.49,0.65,9.91,'Card'),
(120557,103,'2025-05-20','Late Night','Drive-Thru','Double Cheeseburger','None',1,5.56,0,0.47,6.03,'Card'),
(120558,501,'2025-07-26','Dinner','Dine-In','Spicy Chicken Sandwich','None',1,5.79,0,0.42,6.21,'Card'),
(120559,102,'2025-06-17','Morning','Takeout','Coffee','None',2,1.81,0,0.22,3.84,'Card'),
(120560,101,'2025-05-07','Breakfast','Dine-In','Egg Muffin','None',1,3.31,0,0.24,3.55,'Card'),
(120561,202,'2025-07-29','Lunch','Delivery','French Fries','Extra Sauce',3,3.23,0,0.76,11.2,'Card'),
(120562,501,'2025-04-30','Lunch','Takeout','Chicken Sandwich Combo','None',1,9.43,0,0.8,10.23,'Card'),
(120563,103,'2025-06-05','Dinner','Dine-In','Chicken Sandwich Combo','No Sauce',1,8.83,0,0.71,9.54,'MobilePay'),
(120564,103,'2025-07-25','Dinner','Dine-In','Cheeseburger Combo','None',2,9.09,0,1.55,19.73,'Card'),
(120565,102,'2025-05-19','Afternoon','Takeout','Chicken Nuggets (10pc),','None',1,4.85,0.73,0.35,4.47,'MobilePay'),
(120566,101,'2025-05-19','Lunch','Dine-In','Veggie Burger','Add Jalapenos',1,4.53,0,0.32,5.25,'MobilePay'),
(120567,301,'2025-05-30','Lunch','Dine-In','Iced Tea','Almond Milk',2,1.76,0,0.39,5.31,'Card'),
(120568,301,'2025-05-09','Dinner','Dine-In','Double Cheeseburger Combo','None',1,9.05,0.45,0.65,9.25,'Cash'),
(120569,501,'2025-06-22','Dinner','Drive-Thru','Double Cheeseburger','None',1,5.59,0,0.48,6.07,'Card'),
(120570,402,'2025-06-29','Late Night','Takeout','Cheeseburger','None',2,4.5,0,0.65,9.65,'Card'),
(120571,402,'2025-07-16','Dinner','Dine-In','Chicken Sandwich Combo','None',1,9.83,0,1.03,11.86,'Cash'),
(120572,501,'2025-05-02','Lunch','Dine-In','Spicy Chicken Sandwich','Extra Cheese',1,5.77,0,0.41,6.68,'Card'),
(120573,402,'2025-07-25','Lunch','Dine-In','Cheeseburger Combo','None',1,8.38,0,0.5,8.88,'Card'),
(120574,501,'2025-05-24','Morning','Dine-In','Latte','None',1,3.45,0,0.26,3.71,'Card'),
(120575,401,'2025-07-28','Lunch','Drive-Thru','Chicken Sandwich','No Sauce',1,4.58,0,0.34,4.92,'Card'),
(120576,202,'2025-05-13','Dinner','Delivery','Veggie Burger','None',1,5.32,0,0.32,5.64,'Card'),
(120577,501,'2025-06-10','Lunch','Dine-In','French Fries','No Sauce',2,2.86,0,0.4,6.12,'Card'),
(120578,402,'2025-06-01','Dinner','Dine-In','Double Cheeseburger Combo','None',1,9.25,0,0.83,10.08,'Card'),
(120579,201,'2025-07-22','Afternoon','Dine-In','Ice Cream Cone','Cinnamon',1,1.77,0,0.16,2.03,'Cash'),
(120580,402,'2025-04-19','Late Night','Drive-Thru','Spicy Chicken Sandwich','Gluten-Free Bun',1,5.77,1.02,0.37,6.12,'MobilePay'),
(120581,101,'2025-05-14','Lunch','Dine-In','Chicken Sandwich Combo','Gluten-Free Bun',1,8.78,1.47,0.5,8.81,'GiftCard'),
(120582,101,'2025-05-17','Lunch','Dine-In','Double Cheeseburger Combo','None',2,10.31,0,1.34,21.96,'MobilePay'),
(120583,202,'2025-06-10','Morning','Delivery','Bottled Water','Extra Ice',2,1.63,0,0.23,3.49,'Card'),
(120584,201,'2025-06-17','Morning','Dine-In','Hash Browns','None',1,1.93,0,0.13,2.16,'Cash'),
(120585,402,'2025-06-11','Lunch','Dine-In','Soft Drink (Medium),','Light Ice',1,1.76,0,0.13,1.89,'Cash'),
(120586,101,'2025-06-20','Dinner','Dine-In','French Fries','Large Size',1,2.51,0,0.2,3.31,'MobilePay'),
(120587,101,'2025-05-27','Breakfast','Drive-Thru','Breakfast Burrito','Cinnamon',1,3.53,0,0.25,3.88,'Cash'),
(120588,201,'2025-08-09','Breakfast','Dine-In','Hash Browns','Cinnamon',1,2.06,0,0.16,2.32,'Card'),
(120589,501,'2025-04-22','Afternoon','Takeout','Chicken Nuggets (10pc),','None',2,4.7,0,0.89,10.29,'Cash'),
(120590,301,'2025-06-20','Afternoon','Dine-In','Onion Rings','None',1,3.16,0,0.19,3.35,'Card'),
(120591,301,'2025-06-11','Late Night','Drive-Thru','Soft Drink (Large),','None',3,1.94,0,0.55,6.37,'Card'),
(120592,103,'2025-05-04','Morning','Dine-In','Soft Drink (Small),','Oat Milk',2,1.58,0,0.43,4.99,'MobilePay'),
(120593,301,'2025-04-25','Afternoon','Dine-In','French Fries','Extra Sauce',3,2.73,0,0.65,9.59,'Cash'),
(120594,103,'2025-06-21','Dinner','Dine-In','Cheeseburger','None',1,4.84,0,0.29,5.13,'Card'),
(120595,501,'2025-07-15','Lunch','Delivery','Double Cheeseburger Combo','None',1,9.73,0,0.63,10.36,'Card'),
(120596,101,'2025-06-18','Lunch','Delivery','Spicy Chicken Combo','None',1,9.16,0,0.82,9.98,'GiftCard'),
(120597,402,'2025-06-22','Lunch','Dine-In','Double Cheeseburger','None',1,5.33,0,0.32,5.65,'Card'),
(120598,102,'2025-07-20','Dinner','Delivery','Onion Rings','Extra Sauce',1,3.01,0,0.21,3.47,'MobilePay'),
(120599,401,'2025-06-28','Morning','Takeout','Chicken Nuggets (6pc),','None',2,3.83,0,0.5,8.16,'Cash'),
(120600,301,'2025-06-17','Late Night','Delivery','Onion Rings','None',1,3.35,0,0.27,3.62,'Card'),
(120601,101,'2025-05-01','Breakfast','Drive-Thru','Coffee','No Ice',1,1.71,0,0.12,1.83,'Cash'),
(120602,301,'2025-06-27','Lunch','Dine-In','Cheeseburger','None',1,4.78,0,0.45,5.23,'Card'),
(120603,102,'2025-06-14','Breakfast','Takeout','Bottled Water','Light Ice',1,1.55,0,0.1,1.65,'Cash'),
(120604,301,'2025-04-22','Dinner','Dine-In','Chicken Sandwich Combo','Add Bacon',1,9.2,0,0.97,11.17,'Card'),
(120605,202,'2025-04-15','Breakfast','Dine-In','Hash Browns','No Cheese',1,2.27,0,0.2,2.47,'Cash'),
(120606,202,'2025-07-02','Afternoon','Drive-Thru','Chicken Nuggets (6pc),','None',1,3.55,0,0.3,3.85,'Card'),
(120607,301,'2025-04-15','Dinner','Drive-Thru','Chicken Sandwich Combo','No Sauce',1,8.37,0,0.71,9.08,'Cash'),
(120608,202,'2025-04-11','Dinner','Delivery','Spicy Chicken Sandwich','Extra Patty',1,4.96,0,0.49,7.45,'MobilePay'),
(120609,403,'2025-05-28','Lunch','None','Chicken Sandwich','Spicy',1,5.94,0,0.48,6.42,'Card'),
(120610,101,'2025-06-09','Late Night','Drive-Thru','Bottled Water','No Ice',1,1.49,0,0.11,1.6,'Card'),
(120611,101,'2025-05-18','Morning','Takeout','Latte','Light Ice',1,3.23,0,0.24,3.47,'Not Registered'),
(120612,101,'2025-06-26','Afternoon','Takeout','French Fries','None',1,2.72,0,0.23,2.95,'Cash'),
(120613,301,'2025-06-18','Lunch','Delivery','Cheeseburger','None',2,4.11,0.82,0.59,7.99,'Card'),
(120614,201,'2025-05-27','Lunch','Dine-In','Chicken Sandwich Combo','Add Bacon',1,10.21,0,1.06,12.27,'MobilePay'),
(120615,501,'2025-06-03','Lunch','Dine-In','Chicken Nuggets (10pc),','None',2,5.03,0,0.73,10.79,'Cash'),
(120616,401,'2025-06-25','Lunch','Delivery','Cheeseburger Combo','None',1,8.54,0,0.6,9.14,'Card'),
(120617,501,'2025-07-04','Morning','Dine-In','Chicken Nuggets (6pc),','None',1,3.92,0,0.27,4.19,'Not Registered'),
(120618,402,'2025-07-24','Dinner','Dine-In','Cheeseburger','None',1,4.65,0,0.4,5.05,'Card'),
(120619,301,'2025-05-23','Afternoon','Dine-In','Ice Cream Cone','Cinnamon',1,1.67,0,0.13,1.9,'MobilePay'),
(120620,403,'2025-04-17','Breakfast','Takeout','Sausage Biscuit','Sausage Patty',2,2.84,1.21,0.62,7.49,'Cash'),
(120621,401,'2025-06-21','Lunch','Drive-Thru','Chicken Nuggets (10pc),','None',2,5.15,0,0.77,11.07,'Card'),
(120622,202,'2025-07-12','Lunch','Dine-In','Double Cheeseburger','None',1,6.52,0.65,0.35,6.22,'Cash'),
(120623,402,'2025-08-06','Dinner','Drive-Thru','Spicy Chicken Combo','None',2,9.96,0,1.29,21.21,'Card'),
(120624,102,'2025-07-05','Dinner','Dine-In','Spicy Chicken Combo','None',1,10.09,0,0.96,11.05,'MobilePay'),
(120625,102,'2025-04-30','Dinner','Delivery','Chicken Sandwich Combo','No Pickles',1,8.73,0,0.63,9.36,'MobilePay'),
(120626,202,'2025-05-20','Breakfast','Drive-Thru','Sausage Biscuit','No Cheese',1,2.79,0.42,0.2,2.57,'Card'),
(120627,202,'2025-04-19','Dinner','Takeout','Chicken Sandwich Combo','Gluten-Free Bun',1,8.93,0,0.74,10.67,'Cash'),
(120628,301,'2025-06-26','Afternoon','Dine-In','Brownie','Cinnamon',1,1.9,0,0.15,2.15,'MobilePay'),
(120629,301,'2025-06-30','Morning','Takeout','Ice Cream Cone','None',1,1.77,0,0.11,1.88,'Card'),
(120630,102,'2025-05-23','Late Night','Drive-Thru','Cheeseburger','None',1,3.93,0,0.31,4.24,'GiftCard'),
(120631,201,'2025-04-24','Late Night','Takeout','Milkshake','None',1,4.5,0,0.27,4.77,'MobilePay'),
(120632,402,'2025-07-04','Breakfast','Drive-Thru','Egg Muffin','Cinnamon',1,3.2,0,0.25,3.55,'Cash'),
(120633,101,'2025-04-25','Breakfast','Dine-In','Coffee','None',1,1.8,0,0.14,1.94,'Cash'),
(120634,501,'2025-07-03','Lunch','Drive-Thru','Cheeseburger Combo','None',1,7.98,0,0.48,8.46,'Card'),
(120635,402,'2025-08-06','Morning','Takeout','Coffee','None',1,1.56,0,0.1,1.66,'Card'),
(120636,103,'2025-04-24','Lunch','Drive-Thru','Cheeseburger','None',1,4.76,0,0.33,5.09,'Cash'),
(120637,201,'2025-04-30','Dinner','Dine-In','Veggie Burger','Add Jalapenos',1,5.27,0,0.37,6.04,'Cash'),
(120638,403,'2025-07-19','Dinner','Drive-Thru','Cheeseburger Combo','None',1,7.85,0,0.75,8.6,'Not Registered'),
(120639,202,'2025-05-23','Lunch','Dine-In','Spicy Chicken Combo','None',2,8.64,0,1.3,18.58,'Card'),
(120640,103,'2025-05-10','Breakfast','Takeout','Egg Muffin','Sausage Patty',1,3.16,0,0.28,4.64,'Card'),
(120641,301,'2025-04-18','Afternoon','Dine-In','French Fries','Extra Sauce',1,3.11,0,0.29,3.65,'Card'),
(120642,102,'2025-07-05','Dinner','Dine-In','Chicken Sandwich Combo','No Sauce',1,8.86,0,0.66,9.52,'MobilePay'),
(120643,101,'2025-07-13','Dinner','Delivery','Cheeseburger Combo','None',1,7.74,0,0.54,8.28,'Card'),
(120644,102,'2025-06-20','Morning','Delivery','Side Salad','None',1,2.79,0,0.2,2.99,'Card'),
(120645,403,'2025-05-13','Lunch','Takeout','Spicy Chicken Sandwich','None',1,5.54,0,0.44,5.98,'Card'),
(120646,401,'2025-04-12','Lunch','Takeout','Chicken Sandwich Combo','None',2,7.64,0,1.45,16.73,'Card'),
(120647,101,'2025-05-11','Late Night','Dine-In','Cheeseburger','None',1,4.47,0,0.4,4.87,'Cash'),
(120648,101,'2025-05-23','Lunch','Dine-In','Cheeseburger','None',1,4.41,0,0.26,4.67,'MobilePay'),
(120649,101,'2025-05-15','Lunch','Dine-In','Spicy Chicken Combo','None',1,9.64,0,0.82,10.46,'GiftCard'),
(120650,202,'2025-06-14','Breakfast','Dine-In','Egg Muffin','Extra Egg',1,3.7,0,0.31,5.01,'Card'),
(120651,102,'2025-07-17','Dinner','Delivery','Double Cheeseburger Combo','None',1,10.55,0,0.69,11.24,'GiftCard'),
(120652,201,'2025-05-07','Dinner','Takeout','Spicy Chicken Sandwich','None',1,5.54,0,0.42,6.21,'Card'),
(120653,501,'2025-05-03','Lunch','Delivery','Chicken Nuggets (10pc),','None',1,4.62,0,0.39,5.01,'Card'),
(120654,403,'2025-05-06','Lunch','Drive-Thru','Cheeseburger Combo','None',1,9.78,0,0.68,10.46,'Card'),
(120655,101,'2025-07-27','Lunch','Dine-In','Spicy Chicken Sandwich','Extra Cheese',1,5.66,0,0.43,6.59,'Card'),
(120656,501,'2025-05-08','Afternoon','Dine-In','Iced Tea','Sugar-Free Syrup',1,1.89,0,0.16,2.35,'Cash'),
(120657,501,'2025-08-06','Lunch','Drive-Thru','Soft Drink (Medium),','None',3,1.74,0,0.37,5.59,'MobilePay'),
(120658,103,'2025-06-12','Dinner','Dine-In','French Fries','None',1,2.7,0,0.2,2.9,'Card'),
(120659,101,'2025-06-26','Lunch','Delivery','Chicken Nuggets (10pc),','None',2,4.94,0,0.64,10.52,'Card'),
(120660,202,'2025-05-08','Dinner','Takeout','Spicy Chicken Combo','None',1,9,0,0.63,9.63,'Card'),
(120661,401,'2025-05-19','Dinner','Dine-In','Cheeseburger Combo','None',1,8.22,0,0.62,8.84,'Card'),
(120662,103,'2025-05-14','Breakfast','Takeout','Coffee','None',2,1.88,0,0.23,3.99,'Card'),
(120663,401,'2025-08-03','Lunch','Drive-Thru','French Fries','No Sauce',2,2.49,0,0.47,5.45,'Card'),
(120664,102,'2025-06-27','Breakfast','Dine-In','Coffee','No Ice',1,1.75,0.35,0.13,1.53,'MobilePay'),
(120665,202,'2025-08-06','Dinner','Takeout','Veggie Burger','Spicy',1,5.28,0,0.5,5.78,'Card'),
(120666,402,'2025-07-05','Lunch','Delivery','Chicken Nuggets (10pc),','None',2,4.91,0,0.59,10.41,'MobilePay'),
(120667,102,'2025-05-09','Lunch','Delivery','Veggie Burger','None',1,5.77,0,0.38,6.15,'Card'),
(120668,202,'2025-06-01','Afternoon','Dine-In','French Fries','No Sauce',2,1.89,0,0.28,4.06,'Cash'),
(120669,101,'2025-08-07','Lunch','Dine-In','Double Cheeseburger Combo','None',1,10.54,0,0.84,11.38,'Card'),
